                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                0.43728,                0.46675,                0.28454,                 0.9749,                 0.9838,                0.98732,                0.99394,                0.91524,                 0.9838,                0.98732,                0.99394,                 0.9382,                0.45765,                0.41731,                0.25893,                0.94066,              0.0011288,              0.0011288,              0.0011288
                     46,                0.44143,                0.48497,                0.28962,                0.96052,                0.99543,                0.99577,                0.99472,                 0.9087,                0.99543,                0.99577,                0.99472,                0.93484,                0.45204,                 0.4114,                 0.2521,                0.93745,               0.001109,               0.001109,               0.001109
                     47,                0.44231,                0.47114,                0.27526,                 0.9679,                 0.9895,                0.99597,                 0.9941,                0.91853,                 0.9895,                0.99597,                 0.9941,                0.94206,                0.45681,                0.41136,                 0.2484,                0.93332,              0.0010892,              0.0010892,              0.0010892
                     48,                0.42941,                0.46575,                0.26928,                0.96619,                0.99753,                 0.9852,                0.99472,                0.92514,                0.99753,                 0.9852,                0.99472,                0.94709,                0.43742,                0.40387,                0.23867,                0.93384,              0.0010694,              0.0010694,              0.0010694
                     49,                0.41619,                0.44506,                0.26972,                0.95006,                0.99474,                0.99154,                0.99452,                0.92419,                0.99474,                0.99154,                0.99452,                0.94176,                0.44567,                0.40902,                0.24429,                0.92835,              0.0010496,              0.0010496,              0.0010496
                     50,                0.43596,                0.46566,                0.28039,                0.97037,                0.99576,                 0.9934,                0.99479,                0.92108,                0.99576,                 0.9934,                0.99479,                0.94423,                0.43805,                0.39645,                0.23462,                 0.9252,              0.0010298,              0.0010298,              0.0010298
                     51,                0.44669,                0.47549,                0.28051,                0.96891,                0.98677,                0.99577,                0.99487,                0.92344,                0.98677,                0.99577,                0.99487,                0.94057,                0.44946,                0.40826,                0.24622,                 0.9451,                0.00101,                0.00101,                0.00101
                     52,                0.42181,                0.43734,                 0.2681,                0.94787,                0.99644,                0.98943,                0.99445,                0.92629,                0.99644,                0.98943,                0.99445,                0.94278,                0.44797,                0.40878,                0.24117,                0.92258,              0.0009902,              0.0009902,              0.0009902
                     53,                0.42912,                0.44873,                0.27458,                0.95745,                0.99576,                0.99363,                0.99453,                  0.921,                0.99576,                0.99363,                0.99453,                0.94374,                0.44621,                0.41636,                0.24253,                0.92307,              0.0009704,              0.0009704,              0.0009704
                     54,                0.41093,                0.43344,                0.26465,                0.94571,                0.99366,                0.99336,                0.99474,                0.92802,                0.99366,                0.99336,                0.99474,                0.94737,                0.43905,                0.39974,                0.23694,                0.92781,              0.0009506,              0.0009506,              0.0009506
